,id,location,fault_severity,event_type,severity_type,log_feature,volume,resource_type
0,14121,location 118,1,event_type 34,severity_type 2,feature 312,19,resource_type 2
1,9320,location 91,0,event_type 34,severity_type 2,feature 315,200,resource_type 2
2,14394,location 152,1,event_type 35,severity_type 2,feature 221,1,resource_type 2
3,8218,location 931,1,event_type 15,severity_type 1,feature 80,9,resource_type 8
4,14804,location 120,0,event_type 34,severity_type 1,feature 134,1,resource_type 2
5,1080,location 664,0,event_type 11,severity_type 1,feature 171,8,resource_type 8
6,9731,location 640,0,event_type 50,severity_type 4,feature 374,3,resource_type 2
7,15505,location 122,0,event_type 34,severity_type 2,feature 235,1,resource_type 2
8,3443,location 263,1,event_type 34,severity_type 2,feature 312,1,resource_type 2
9,13300,location 613,1,event_type 54,severity_type 1,feature 71,1,resource_type 8
10,8976,location 760,1,event_type 11,severity_type 1,feature 136,1,resource_type 8
11,7965,location 519,0,event_type 34,severity_type 2,feature 312,1,resource_type 2
12,10342,location 746,0,event_type 11,severity_type 1,feature 134,3,resource_type 2
13,6741,location 1066,1,event_type 11,severity_type 1,feature 68,5,resource_type 8
14,7187,location 812,0,event_type 11,severity_type 1,feature 167,5,resource_type 8
15,16780,location 343,0,event_type 34,severity_type 2,feature 232,1,resource_type 2
16,14195,location 133,0,event_type 35,severity_type 2,feature 312,1,resource_type 2
17,14025,location 976,0,event_type 54,severity_type 1,feature 82,6,resource_type 8
18,8548,location 948,1,event_type 11,severity_type 1,feature 163,2,resource_type 8
19,9566,location 808,0,event_type 11,severity_type 1,feature 71,4,resource_type 8
20,15652,location 894,0,event_type 44,severity_type 1,feature 378,6,resource_type 2
21,3931,location 875,0,event_type 11,severity_type 1,feature 202,2,resource_type 8
22,4557,location 1024,0,event_type 11,severity_type 2,feature 73,1,resource_type 8
23,3610,location 166,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
24,16574,location 687,0,event_type 11,severity_type 4,feature 54,1,resource_type 8
25,7504,location 1016,1,event_type 11,severity_type 1,feature 170,1,resource_type 8
26,9735,location 707,0,event_type 15,severity_type 2,feature 193,4,resource_type 8
27,14048,location 978,1,event_type 15,severity_type 1,feature 201,2,resource_type 8
28,6769,location 775,0,event_type 15,severity_type 1,feature 203,3,resource_type 8
29,2514,location 829,0,event_type 11,severity_type 2,feature 55,5,resource_type 8
30,896,location 732,0,event_type 11,severity_type 1,feature 55,1,resource_type 8
31,4757,location 508,0,event_type 35,severity_type 2,feature 312,7,resource_type 2
32,16358,location 257,1,event_type 20,severity_type 1,feature 134,1,resource_type 2
33,11810,location 116,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
34,7274,location 830,1,event_type 11,severity_type 1,feature 68,1,resource_type 8
35,2972,location 491,0,event_type 34,severity_type 2,feature 235,2,resource_type 2
36,7392,location 253,0,event_type 35,severity_type 2,feature 232,2,resource_type 2
37,6824,location 740,0,event_type 11,severity_type 2,feature 195,1,resource_type 8
38,4311,location 704,2,event_type 15,severity_type 1,feature 74,1,resource_type 8
39,12261,location 1089,2,event_type 11,severity_type 1,feature 170,11,resource_type 8
40,14752,location 653,0,event_type 11,severity_type 2,feature 76,1,resource_type 8
41,14992,location 600,2,event_type 15,severity_type 2,feature 203,1,resource_type 8
42,967,location 892,2,event_type 42,severity_type 1,feature 291,5,resource_type 2
43,8059,location 802,0,event_type 23,severity_type 4,feature 306,2,resource_type 7
44,13406,location 794,0,event_type 14,severity_type 1,feature 163,3,resource_type 4
45,11424,location 477,0,event_type 35,severity_type 2,feature 235,1,resource_type 2
46,3945,location 684,2,event_type 15,severity_type 2,feature 71,1,resource_type 8
47,10351,location 895,2,event_type 42,severity_type 1,feature 375,49,resource_type 2
48,2272,location 496,0,event_type 35,severity_type 2,feature 307,1,resource_type 2
49,10752,location 321,1,event_type 34,severity_type 2,feature 312,2,resource_type 2
50,17096,location 1107,2,event_type 15,severity_type 1,feature 71,144,resource_type 8
51,17314,location 1086,2,event_type 15,severity_type 2,feature 82,16,resource_type 8
52,12770,location 895,1,event_type 42,severity_type 1,feature 290,2,resource_type 2
53,3304,location 1099,1,event_type 11,severity_type 2,feature 81,5,resource_type 8
54,9012,location 975,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
55,9928,location 1019,2,event_type 15,severity_type 2,feature 203,22,resource_type 8
56,297,location 812,2,event_type 10,severity_type 1,feature 55,11,resource_type 8
57,5751,location 342,0,event_type 35,severity_type 2,feature 232,3,resource_type 2
58,17692,location 744,1,event_type 14,severity_type 2,feature 54,1,resource_type 8
59,3688,location 181,0,event_type 35,severity_type 4,feature 313,1,resource_type 2
60,3425,location 1086,1,event_type 15,severity_type 2,feature 203,3,resource_type 8
61,7871,location 1052,1,event_type 15,severity_type 1,feature 203,4,resource_type 8
62,10013,location 696,0,event_type 11,severity_type 2,feature 54,1,resource_type 8
63,13832,location 1008,1,event_type 15,severity_type 2,feature 80,1,resource_type 8
64,11743,location 798,1,event_type 15,severity_type 2,feature 82,12,resource_type 8
65,10099,location 760,1,event_type 11,severity_type 1,feature 170,21,resource_type 8
66,16682,location 777,1,event_type 15,severity_type 2,feature 203,1,resource_type 8
67,10156,location 95,1,event_type 35,severity_type 2,feature 232,1,resource_type 2
68,16154,location 699,0,event_type 54,severity_type 5,feature 360,1,resource_type 2
69,14176,location 272,1,event_type 35,severity_type 1,feature 134,1,resource_type 2
70,14964,location 704,2,event_type 15,severity_type 2,feature 201,1,resource_type 8
71,12896,location 613,2,event_type 54,severity_type 1,feature 203,7,resource_type 8
72,7288,location 846,2,event_type 15,severity_type 2,feature 203,18,resource_type 8
73,15882,location 795,0,event_type 11,severity_type 1,feature 101,53,resource_type 8
74,12441,location 826,1,event_type 13,severity_type 1,feature 223,3,resource_type 7
75,17248,location 112,0,event_type 11,severity_type 2,feature 181,1,resource_type 8
76,16745,location 778,0,event_type 15,severity_type 2,feature 80,1,resource_type 8
77,5315,location 810,0,event_type 11,severity_type 1,feature 193,1,resource_type 8
78,17118,location 895,1,event_type 42,severity_type 1,feature 283,1,resource_type 2
79,7725,location 690,0,event_type 11,severity_type 1,feature 73,2,resource_type 8
80,2311,location 494,0,event_type 20,severity_type 1,feature 117,1,resource_type 8
81,4292,location 1095,0,event_type 11,severity_type 2,feature 77,1,resource_type 8
82,15773,location 445,0,event_type 35,severity_type 2,feature 232,7,resource_type 2
83,6531,location 478,0,event_type 34,severity_type 2,feature 234,51,resource_type 2
84,16009,location 661,0,event_type 22,severity_type 2,feature 75,1,resource_type 7
85,11930,location 380,0,event_type 35,severity_type 2,feature 312,7,resource_type 2
86,8541,location 242,0,event_type 35,severity_type 2,feature 232,6,resource_type 2
87,11019,location 1082,0,event_type 11,severity_type 1,feature 68,1,resource_type 8
88,8274,location 181,0,event_type 34,severity_type 2,feature 233,2,resource_type 2
89,722,location 1007,0,event_type 11,severity_type 1,feature 201,2,resource_type 8
90,12305,location 131,1,event_type 35,severity_type 2,feature 301,1,resource_type 2
91,11444,location 1007,1,event_type 15,severity_type 1,feature 80,6,resource_type 8
92,4006,location 931,1,event_type 11,severity_type 1,feature 201,1,resource_type 8
93,9231,location 980,1,event_type 11,severity_type 1,feature 80,1,resource_type 8
94,6821,location 118,0,event_type 34,severity_type 1,feature 232,11,resource_type 2
95,12888,location 373,0,event_type 34,severity_type 2,feature 232,1,resource_type 2
96,6779,location 169,0,event_type 35,severity_type 2,feature 307,2,resource_type 2
97,11232,location 421,0,event_type 34,severity_type 1,feature 307,3,resource_type 2
98,11685,location 779,2,event_type 15,severity_type 2,feature 82,42,resource_type 8
99,1318,location 690,1,event_type 11,severity_type 1,feature 219,1,resource_type 8
100,909,location 59,1,event_type 11,severity_type 2,feature 171,1,resource_type 8
101,18511,location 648,1,event_type 11,severity_type 1,feature 345,2,resource_type 6
102,16460,location 478,0,event_type 34,severity_type 2,feature 309,21,resource_type 2
103,12008,location 118,0,event_type 34,severity_type 2,feature 232,13,resource_type 2
104,6811,location 124,0,event_type 35,severity_type 2,feature 235,5,resource_type 2
105,16071,location 7,0,event_type 11,severity_type 1,feature 171,3,resource_type 8
106,4486,location 12,0,event_type 11,severity_type 1,feature 74,1,resource_type 8
107,183,location 1026,1,event_type 13,severity_type 1,feature 273,2,resource_type 6
108,5729,location 270,0,event_type 35,severity_type 4,feature 313,1,resource_type 2
109,15368,location 1106,0,event_type 11,severity_type 1,feature 170,27,resource_type 8
110,5064,location 1090,0,event_type 11,severity_type 1,feature 202,10,resource_type 8
111,11530,location 522,0,event_type 35,severity_type 2,feature 312,3,resource_type 2
112,14860,location 1007,0,event_type 15,severity_type 1,feature 80,2,resource_type 8
113,13166,location 836,0,event_type 11,severity_type 1,feature 73,1,resource_type 8
114,14528,location 145,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
115,4202,location 895,1,event_type 44,severity_type 2,feature 376,5,resource_type 2
116,3916,location 1020,1,event_type 11,severity_type 1,feature 209,2,resource_type 8
117,11454,location 804,1,event_type 20,severity_type 1,feature 219,1,resource_type 2
118,12297,location 1055,0,event_type 11,severity_type 1,feature 193,81,resource_type 8
119,553,location 798,0,event_type 11,severity_type 1,feature 82,38,resource_type 8
